Page,Title,Link
6,"The Godfather (1972-1974-1990) 2160p UHD BluRay REMUX HEVC DoVi [TR-EN] TrueHD 5.1-TU",https://hduse.net/topic-the-godfather-1972-1974-1990-2160p-uhd-bluray-remux-hevc-dovi-tr-en-truehd-5-1-tu.html
6,"Nightmare Alley 2021 Hybrid 2160p UHD Remux HEVC DoVi TrueHD Atmos 7 1-playBD",https://hduse.net/topic-nightmare-alley-2021-hybrid-2160p-uhd-remux-hevc-dovi-truehd-atmos-7-1-playbd-29340.html
6,"Phenomena 1985 International Cut 2160p UHD BluRay REMUX DV HDR HEVC DTS-HD MA 5.1-iNT",https://hduse.net/topic-phenomena-1985-international-cut-2160p-uhd-bluray-remux-dv-hdr-hevc-dts-hd-ma-5-1-int-29288.html
6,"Spider-Man No Way Home 2021 UHD BluRay 2160p TrueHD Atmos 7.1 DV HEVC REMUX-FraMeSToR",https://hduse.net/topic-spider-man-no-way-home-2021-uhd-bluray-2160p-truehd-atmos-7-1-dv-hevc-remux-framestor-29249.html
6,"Shooter 2007 2160p UHD BluRay REMUX DTS-HD MA 5.1 DoVi-HDR HEVC-GOODWILL",https://hduse.net/topic-shooter-2007-2160p-uhd-bluray-remux-dts-hd-ma-5-1-dovi-hdr-hevc-goodwill-29247.html
6,"House of Gucci 2021 2160p UHD Blu-ray Remux HEVC HDR DTS-HD MA 5.1-HDT",https://hduse.net/topic-house-of-gucci-2021-2160p-uhd-blu-ray-remux-hevc-hdr-dts-hd-ma-5-1-hdt-29203.html
6,"Cliffhanger 1993 2160p UHD BluRay REMUX DV HDR HEVC DTS-HD MA 5.1-NoGroup",https://hduse.net/topic-cliffhanger-1993-2160p-uhd-bluray-remux-dv-hdr-hevc-dts-hd-ma-5-1-nogroup-29099.html
6,"Madman 1981 2160p UHD BluRay REMUX HDR HEVC FLAC 2 0-Kenobi",https://hduse.net/topic-madman-1981-2160p-uhd-bluray-remux-hdr-hevc-flac-2-0-kenobi-29097.html
6,"Robot Carnival 1987 2160p UHD Blu-ray Remux HEVC DTS-HD MA 2 0-HDT",https://hduse.net/topic-robot-carnival-1987-2160p-uhd-blu-ray-remux-hevc-dts-hd-ma-2-0-hdt-29095.html
6,"West Side Story 2021 2160p UHD Blu-ray Remux HEVC TrueHD 7 1-HDT",https://hduse.net/topic-west-side-story-2021-2160p-uhd-blu-ray-remux-hevc-truehd-7-1-hdt-29035.html
6,"Downton Abbey 2019 2160p UHD Blu-ray Remux HEVC DV TrueHD 7 1-HDT",https://hduse.net/topic-downton-abbey-2019-2160p-uhd-blu-ray-remux-hevc-dv-truehd-7-1-hdt-29033.html
6,"The Matrix Resurrections 2021 2160p UHD Blu-ray Remux HEVC DV TrueHD 7 1-HDT",https://hduse.net/topic-the-matrix-resurrections-2021-2160p-uhd-blu-ray-remux-hevc-dv-truehd-7-1-hdt-28976.html
6,"Alligator 1980 2160p UHD BluRay REMUX DV HDR HEVC FLAC 2 0-Kenobi",https://hduse.net/topic-alligator-1980-2160p-uhd-bluray-remux-dv-hdr-hevc-flac-2-0-kenobi-28962.html
